ID lección,Bloque,#,Tipo / Punti,Texto ES,Texto EN,Texto 2 ES,Texto 2 EN,Opción 1 ES,Opción 1 EN,Opción 2 ES,Opción 2 EN,Opción 3 ES,Opción 3 EN,Opción 4 ES,Opción 4 EN,Opción 5 ES,Opción 5 EN,Opción 6 ES,Opción 6 EN,Correcta,Pista ES,Pista EN,Tiempo (s),Estado,Notas
ia-en-tu-dia,MUNDO,,explorador,Órbita,Orbit,IA en tu día a día,AI in your daily life,"Estudiar, salud, dinero, viajes y familia, con la IA de tu lado.","Studying, health, money, travel and family, with AI on your side.",,,,,,,,,,,,,,,,Mundo nuevo (2026-09-23).
agentes,MUNDO,,capitan,Nexo,Nexus,Agentes de IA,AI agents,"IA que no solo responde: hace tareas por ti, con tu supervisión.","AI that doesn't just answer: it does tasks for you, with your supervision.",,,,,,,,,,,,,,,,Mundo nuevo (2026-09-23).
crea-sin-programar,MUNDO,,capitan,Taller,Workshop,Crea con IA sin programar,"Build with AI, no coding","De la idea a tu página o app, describiéndola con palabras.","From idea to your own page or app, by describing it in words.",,,,,,,,,,,,,,,,Mundo nuevo (2026-09-23).
futuro-de-la-ia,MUNDO,,capitan,Horizonte,Horizon,El futuro de la IA,The future of AI,"Empleo, ciencia, robots, leyes y lo que viene.","Jobs, science, robots, laws and what's coming.",,,,,,,,,,,,,,,,Mundo nuevo (2026-09-23).
como-se-construye,MUNDO,,arquitecto,Núcleo,Core,Cómo se construye la IA,How AI is built,"APIs, RAG, modelos abiertos y cómo se mide un modelo.","APIs, RAG, open models and how a model is measured.",,,,,,,,,,,,,,,,Mundo nuevo (2026-09-23).
apis-y-costos,LECCION,,como-se-construye,APIs y costos: el mesero de la IA,APIs and costs: AI's waiter,Qué es una API y por qué las empresas pagan la IA por token.,What an API is and why companies pay for AI by the token.,,,,,,,,,,,,,,,,210,Borrador,Escrita por Claude con datos a septiembre de 2026. Revisada por un revisor independiente.
apis-y-costos,PANTALLA,1,boot,"Cuando pides un domicilio por Rappi, no entras a la cocina: alguien lleva tu pedido y te trae la comida. Las apps que usan IA hacen algo parecido todo el día. Hoy vemos quién hace ese mandado y cuánto cobra.","When you order food through a delivery app, you don't walk into the kitchen: someone carries your order and brings the food back. Apps that use AI do something similar all day. Today we see who runs that errand and what it charges.",,,,,,,,,,,,,,,,,,,Borrador,
apis-y-costos,PANTALLA,2,leyendo,"API significa interfaz de programación de aplicaciones. Piensa en un mesero: tu app le entrega un pedido con un formato claro, el mesero lo lleva a la cocina del modelo y vuelve con la respuesta. Tu app nunca ve la cocina por dentro.","API stands for application programming interface. Think of a waiter: your app hands over an order in a clear format, the waiter takes it to the model's kitchen and comes back with the answer. Your app never sees inside the kitchen.",,,,,,,,,,,,,,,,,,,Borrador,
apis-y-costos,GRAFICO_FLUJO,2,,,,,,Tu app arma el pedido,Your app writes the order,La API lo lleva al modelo,The API takes it to the model,El modelo escribe la respuesta,The model writes the answer,La API la devuelve a tu app,The API brings it back to your app,,,,,,,,,Borrador,
apis-y-costos,PANTALLA,3,info,"Tú pagas un plan de chat al mes, o lo usas gratis. Una empresa que usa un modelo por API normalmente paga por uso, medido en tokens, esos pedacitos de texto. La cuenta tiene dos partes:","You pay a monthly chat plan, or use it for free. A company using a model through an API usually pays for usage, measured in tokens, those small chunks of text. The bill has two parts:",,,,,,,,,,,,,,,,,,,Borrador,
