ID lección,Bloque,#,Tipo / Punti,Texto ES,Texto EN,Texto 2 ES,Texto 2 EN,Opción 1 ES,Opción 1 EN,Opción 2 ES,Opción 2 EN,Opción 3 ES,Opción 3 EN,Opción 4 ES,Opción 4 EN,Opción 5 ES,Opción 5 EN,Opción 6 ES,Opción 6 EN,Correcta,Pista ES,Pista EN,Tiempo (s),Estado,Notas
novedades-de-la-semana,LECCION,,,Novedades de la semana,This week's news,Lo nuevo en IA explicado fácil. Se actualiza cada semana.,What's new in AI made easy. Updated every week.,,,,,,,,,,,,,,,,180,Borrador,"Mundo Arena. Escrita por Claude, datos a septiembre de 2026."
novedades-de-la-semana,PLAN,,,Estar al día sin agobiarse.,,Las 1 a 3 novedades más útiles de la semana para un principiante · Qué cambia para ti · Sin rumores ni versiones sin confirmar,,,,,,,,,,,,,,,,,,,Lección viva: la propone cada lunes el Radar IA.
novedades-de-la-semana,PANTALLA,1,boot,"Bienvenido al noticiero de la Arena. Aquí te cuento, en corto, lo que pasó con las IA más conocidas. Edición del 23 de septiembre de 2026.","Welcome to the Arena newscast. Here's a quick rundown of what happened with the best-known AIs. Edition of September 23, 2026.",,,,,,,,,,,,,,,,,,,Borrador,Pantalla viva: revisar cada semana con el Radar IA.
novedades-de-la-semana,PANTALLA,2,leyendo,"xAI: el 21 de septiembre presentó Grok 4.7, su modelo más potente para programar y trabajo de oficina. La empresa dice que es el doble de rápido y cuesta la mitad que otros parecidos. Eso lo dice xAI: falta que otros lo comprueben.","xAI: on September 21 it launched Grok 4.7, its most powerful model for coding and office work. The company says it's twice as fast at half the cost of similar models. That's xAI's claim: others still need to verify it.",,,,,,,,,,,,,,,,,,,Borrador,Pantalla viva: revisar cada semana con el Radar IA.
novedades-de-la-semana,PANTALLA,3,info,"Google: desde el 4 de septiembre empezó a reemplazar el Asistente de Google por Gemini en celulares Android, relojes, audífonos y Android Auto. El cambio llega por partes y, una vez hecho, no se puede volver al asistente anterior.","Google: starting September 4 it began replacing Google Assistant with Gemini on Android phones, watches, headphones and Android Auto. The switch rolls out gradually and, once done, you can't go back to the old assistant.",,,,,,,,,,,,,,,,,,,Borrador,Pantalla viva: revisar cada semana con el Radar IA.
novedades-de-la-semana,PANTALLA,4,loading,"Anthropic: el 18 de septiembre contó que Claude ya lidera cerca de una cuarta parte de su trabajo de investigación para crear el siguiente modelo, con supervisión humana. La propia empresa advirtió que esto puede hacer más difícil entender y controlar estos sistemas.","Anthropic: on September 18 it said Claude now leads about a quarter of its research work on building the next model, under human supervision. The company itself warned this could make these systems harder to understand and control.",,,,,,,,,,,,,,,,,,,Borrador,Pantalla viva: revisar cada semana con el Radar IA.
novedades-de-la-semana,PANTALLA,5,hype,"Tres noticias, tres empresas. Para leer cualquier titular, sigue este orden: busca la fuente oficial y su fecha, separa lo que la empresa promete de lo que otros comprobaron y, si puedes, pruébalo tú. ¡A practicar!","Three stories, three companies. To read any headline, follow this order: find the official source and its date, separate what the company promises from what others verified and, if you can, try it yourself. Let's practice!",,,,,,,,,,,,,,,,,,,Borrador,Pantalla viva: revisar cada semana con el Radar IA.
novedades-de-la-semana,EJERCICIO,1,opcion-multiple,¿Qué está reemplazando al Asistente de Google en los celulares Android?,What is replacing Google Assistant on Android phones?,,,ChatGPT,ChatGPT,Gemini,Gemini,Grok,Grok,Claude,Claude,,,,,2,"Es el asistente de la misma empresa, Google.","It's the assistant from the same company, Google.",,Borrador,
novedades-de-la-semana,EJERCICIO,2,verdadero-falso,"Si una empresa dice que su modelo es el doble de rápido, ya está comprobado por otros.","If a company says its model is twice as fast, others have already verified it.",,,,,,,,,,,,,,,falso,Separa lo que dice la empresa de lo comprobado.,Separate the company's claim from what's verified.,,Borrador,
novedades-de-la-semana,EJERCICIO,3,completar-frase,Grok es el asistente de la empresa,Grok is the assistant made by,.,.,xAI,xAI,Google,Google,Anthropic,Anthropic,,,,,,,1,Es la noticia del 21 de septiembre.,It's the September 21 story.,,Borrador,
novedades-de-la-semana,EJERCICIO,4,ordenar-pasos,Ordena cómo verificar una noticia de IA:,Put in order how to check an AI news story:,,,Busca la fuente oficial y su fecha,Find the official source and its date,Separa lo que promete la empresa de lo comprobado,Separate the company's promises from what's verified,Pruébalo tú si puedes,Try it yourself if you can,,,,,,,,Todo empieza por saber quién lo dijo.,It all starts with knowing who said it.,,Borrador,
novedades-de-la-semana,EJERCICIO,5,escribir-prompt,"Escribe un prompt pidiéndole a una IA las noticias de IA de esta semana, con fecha y enlace a la fuente oficial de cada una.","Write a prompt asking an AI for this week's AI news, with the date and a link to the official source for each story.",,,,,,,,,,,,,,,,Pide que busque en internet y que no invente enlaces.,Ask it to search the web and not make up links.,,Borrador,
novedades-de-la-semana,TAREA,,,"Elige una de las tres noticias, busca el anuncio oficial y cuéntale a alguien lo que aprendiste en dos frases.","Pick one of the three stories, find the official announcement and explain what you learned to someone in two sentences.",,,,,,,,,,,,,,,,,,,Borrador,
