ID lección	Bloque	#	Tipo / Punti	Texto ES	Texto EN	Texto 2 ES	Texto 2 EN	Opción 1 ES	Opción 1 EN	Opción 2 ES	Opción 2 EN	Opción 3 ES	Opción 3 EN	Opción 4 ES	Opción 4 EN	Opción 5 ES	Opción 5 EN	Opción 6 ES	Opción 6 EN	Correcta	Pista ES	Pista EN	Tiempo (s)	Estado	Notas
origenes	LECCION			Orígenes de la IA	The origins of AI	De Turing a los primeros programas 'inteligentes'.	From Turing to the first 'intelligent' programs.																180	Borrador	Escrita por Claude. Revisar y pasar a Revisado.
origenes	PLAN			Saber de dónde viene la idea de las máquinas que piensan.		Alan Turing (1950) pregunta si las máquinas pueden pensar y propone la prueba de Turing · En 1956, en Dartmouth, se usa por primera vez el nombre 'inteligencia artificial' · ELIZA (1966) conversaba con reglas simples y aun así convencía a la gente																			Ejercicio de ordenar: los hitos en orden cronológico. Tarea: probar hoy la 'prueba de Turing' con un chatbot.
origenes	PANTALLA	1	boot	Volvemos al pasado, astronauta. Antes de que existiera tu celular, alguien ya se preguntaba si una máquina podría pensar. Esa pregunta es el origen de todo este universo.	Back to the past, astronaut. Long before your phone existed, someone was already wondering whether a machine could think. That question is where this whole universe begins.																			Borrador	
origenes	PANTALLA	2	leyendo	En 1950, el matemático británico Alan Turing propuso un juego: si hablas por escrito con alguien y no puedes saber si es una persona o una máquina, ¿importa la diferencia? Hoy lo llamamos la prueba de Turing.	In 1950, British mathematician Alan Turing proposed a game: if you chat in writing with someone and can't tell whether it's a person or a machine, does the difference matter? Today we call it the Turing test.																			Borrador	
origenes	PANTALLA	3	loading	En 1956, un grupo de científicos se reunió en la universidad de Dartmouth, en Estados Unidos, y le puso nombre a la idea: 'inteligencia artificial'. Así fueron los primeros pasos:	In 1956, a group of scientists met at Dartmouth College in the United States and gave the idea a name: 'artificial intelligence'. These were the first steps:																			Borrador	
origenes	GRAFICO_FLUJO	3						1950 · Turing pregunta si las máquinas pueden pensar	1950 · Turing asks whether machines can think	1956 · En Dartmouth nace el nombre 'inteligencia artificial'	1956 · At Dartmouth the name 'artificial intelligence' is born	1966 · ELIZA, uno de los primeros chatbots, conversa con la gente	1966 · ELIZA, one of the first chatbots, talks with people											Borrador	
origenes	PANTALLA	4	hype	ELIZA imitaba a una terapeuta repitiendo tus palabras en forma de pregunta. No entendía nada, ¡y aun así mucha gente sentía que la escuchaba! Esa sorpresa sigue viva con los chatbots de hoy. Vamos a practicar.	ELIZA imitated a therapist by turning your own words into questions. It understood nothing, and yet many people felt it was really listening! That surprise is still alive with today's chatbots. Let's practice.																			Borrador	
origenes	EJERCICIO	1	opcion-multiple	¿Qué proponía la prueba de Turing?	What did the Turing test propose?			Medir qué tan rápido calcula una computadora	Measuring how fast a computer calculates	Ver si una máquina puede conversar sin que notes que no es una persona	Seeing whether a machine can chat without you noticing it isn't a person	Construir un robot con forma humana	Building a human-shaped robot	Enseñarle a una máquina a jugar ajedrez	Teaching a machine to play chess					2	Recuerda el juego: hablar por escrito sin saber quién está del otro lado.	Remember the game: chatting in writing without knowing who's on the other side.		Borrador	
origenes	EJERCICIO	2	verdadero-falso	ELIZA entendía de verdad lo que la gente le contaba.	ELIZA truly understood what people told it.															falso	ELIZA solo repetía tus palabras en forma de pregunta, siguiendo reglas simples.	ELIZA only turned your words into questions, following simple rules.		Borrador	
origenes	EJERCICIO	3	completar-frase	El nombre 'inteligencia artificial' nació en 1956 en una reunión en	The name 'artificial intelligence' was born in 1956 at a meeting at	.	.	Dartmouth	Dartmouth	Silicon Valley	Silicon Valley	la NASA	NASA							1	Es el nombre de una universidad en Estados Unidos.	It's the name of a college in the United States.		Borrador	
origenes	EJERCICIO	4	ordenar-pasos	Ordena estos momentos de la historia, del más antiguo al más reciente:	Put these moments in order, from oldest to newest:			Turing propone su prueba	Turing proposes his test	Nace el nombre 'inteligencia artificial'	The name 'artificial intelligence' is born	ELIZA conversa con la gente	ELIZA talks with people								1950, 1956 y 1966: sigue los años del diagrama.	1950, 1956 and 1966: follow the years in the diagram.		Borrador	
origenes	EJERCICIO	5	escribir-prompt	Escribe un prompt para que una IA te explique la prueba de Turing con un ejemplo de la vida diaria.	Write a prompt asking an AI to explain the Turing test with an everyday example.																Pide un ejemplo concreto (una conversación por WhatsApp, por ejemplo) y un lenguaje sencillo.	Ask for a concrete example (a text chat, for instance) and simple language.		Borrador	
origenes	TAREA			Esta semana, conversa 5 minutos con un chatbot y pregúntate: si no supieras que es una IA, ¿lo notarías? Anota qué respuesta te delató que era una máquina.	This week, chat with a chatbot for 5 minutes and ask yourself: if you didn't know it was an AI, would you notice? Write down which answer gave it away as a machine.																			Borrador	
historia	LECCION			Breve historia	A brief history	De la ciencia ficción a tu celular.	From science fiction to your phone.																180	Borrador	Escrita por Claude. Revisar y pasar a Revisado.
historia	PLAN			Recorrer las épocas de la IA: promesas, inviernos y el salto actual.		Los 'inviernos de la IA': épocas en que se frenó por falta de datos y de potencia de cómputo · Deep Blue le gana al campeón de ajedrez Kasparov (1997) · Desde 2012 el aprendizaje profundo reconoce imágenes con mucha precisión · En 2022 ChatGPT pone la IA en manos de todos																			Gráfico de flujo tipo línea de tiempo. Ejercicio de ordenar épocas.
historia	PANTALLA	1	boot	La historia de la IA no fue una línea recta hacia arriba. Tuvo épocas de mucha emoción y otras en las que casi nadie creía en ella.	The history of AI wasn't a straight line upward. It had seasons of great excitement and others when almost nobody believed in it.																			Borrador	
historia	PANTALLA	2	info	A esas épocas de frenazo se les llama 'inviernos de la IA'. Pasó en los años 70 y otra vez a finales de los 80: se prometió mucho, pero faltaban datos y computadoras potentes, y el dinero se fue.	Those slow periods are called 'AI winters'. It happened in the 1970s and again in the late 1980s: a lot was promised, but there wasn't enough data or computing power, and the money dried up.																			Borrador	
historia	PANTALLA	3	loading	Después vinieron los grandes saltos. Mira cómo cambió todo:	Then came the big leaps. See how everything changed:																			Borrador	
historia	GRAFICO_TABLA	3						Año	Year	Qué pasó	What happened													Borrador	
