ID lección,Bloque,#,Tipo / Punti,Texto ES,Texto EN,Texto 2 ES,Texto 2 EN,Opción 1 ES,Opción 1 EN,Opción 2 ES,Opción 2 EN,Opción 3 ES,Opción 3 EN,Opción 4 ES,Opción 4 EN,Opción 5 ES,Opción 5 EN,Opción 6 ES,Opción 6 EN,Correcta,Pista ES,Pista EN,Tiempo (s),Estado,Notas
que-es-automatizar,LECCION,,,Qué es automatizar con IA,What automating with AI means,La idea básica.,The basic idea.,,,,,,,,,,,,,,,,180,Borrador,"Mundo Autómata. Escrita por Claude, datos a septiembre de 2026."
que-es-automatizar,PLAN,,,Entender la idea de automatizar y dónde entra la IA.,,"Una automatización = un disparador (llega un correo) y una acción (guardarlo en una hoja) · La IA es el paso 'inteligente': clasificar, resumir, responder · Sirve para tareas repetitivas",,,,,,,,,,,,,,,,,,,Flujo: disparador → IA → acción.
que-es-automatizar,PANTALLA,1,boot,¿Copias todos los días los pedidos de WhatsApp a una hoja de Excel? Eso que haces una y otra vez lo puede hacer una automatización. Bienvenido al planeta de las máquinas que trabajan por ti.,Do you copy orders from your messages into a spreadsheet every day? That task you repeat over and over can be done by an automation. Welcome to the planet of machines that work for you.,,,,,,,,,,,,,,,,,,,Borrador,
que-es-automatizar,PANTALLA,2,leyendo,"Toda automatización tiene dos partes: un disparador, que es algo que pasa, y una acción, que es algo que se hace solo. Por ejemplo: llega un correo con una factura y el archivo se guarda en una carpeta.","Every automation has two parts: a trigger, which is something that happens, and an action, which is something that gets done on its own. For example: an email arrives with an invoice and the file is saved to a folder.",,,,,,,,,,,,,,,,,,,Borrador,
que-es-automatizar,PANTALLA,3,loading,"La IA entra en la mitad, como el paso inteligente que lee, clasifica, resume o responde:","AI comes in the middle, as the smart step that reads, sorts, summarizes or replies:",,,,,,,,,,,,,,,,,,,Borrador,
que-es-automatizar,GRAFICO_FLUJO,3,,,,,,Disparador: algo pasa,Trigger: something happens,IA: entiende y decide,AI: understands and decides,Acción: algo se hace solo,Action: something gets done automatically,,,,,,,,,,,Borrador,
que-es-automatizar,PANTALLA,4,info,Ejemplos de tareas repetitivas que la IA puede automatizar:,Examples of repetitive tasks AI can automate:,,,,,,,,,,,,,,,,,,,Borrador,
que-es-automatizar,GRAFICO_TABLA,4,,,,,,Tarea repetitiva,Repetitive task,Con IA,With AI,,,,,,,,,,,,,Borrador,
que-es-automatizar,FILA,4,,,,,,Correos de clientes,Customer emails,Los clasifica por urgencia,Sorts them by urgency,,,,,,,,,,,,,Borrador,
que-es-automatizar,FILA,4,,,,,,Facturas en PDF,PDF invoices,Saca fecha y valor a una hoja,Pulls date and amount into a sheet,,,,,,,,,,,,,Borrador,
