ID lección,Bloque,#,Tipo / Punti,Texto ES,Texto EN,Texto 2 ES,Texto 2 EN,Opción 1 ES,Opción 1 EN,Opción 2 ES,Opción 2 EN,Opción 3 ES,Opción 3 EN,Opción 4 ES,Opción 4 EN,Opción 5 ES,Opción 5 EN,Opción 6 ES,Opción 6 EN,Correcta,Pista ES,Pista EN,Tiempo (s),Estado,Notas
ia-para-escribir,LECCION,,,IA para escribir y organizar,AI for writing and organizing,"Documentos, correos, notas.","Documents, emails, notes.",,,,,,,,,,,,,,,,180,Borrador,"Mundo Forja. Escrita por Claude, datos a septiembre de 2026."
ia-para-escribir,PLAN,,,Usar la IA para escribir y organizar en el trabajo.,,Redactar y responder correos · Resumir documentos largos · Cambiar el tono de un texto · Ordenar notas sueltas en un plan · Siempre revisar antes de enviar,,,,,,,,,,,,,,,,,,,Tarea: resumir un documento real propio (sin datos sensibles).
ia-para-escribir,PANTALLA,1,boot,"Correos, informes, actas, mensajes para el grupo del trabajo: escribir se come horas de la semana. Hoy ves cómo la IA te devuelve parte de ese tiempo.","Emails, reports, meeting notes, messages to the team chat: writing eats hours of your week. Today you'll see how AI gives some of that time back.",,,,,,,,,,,,,,,,,,,Borrador,
ia-para-escribir,PANTALLA,2,leyendo,"Cinco tareas de escritura que la IA hace muy bien, y cómo pedirlas:","Five writing tasks AI handles really well, and how to ask for them:",,,,,,,,,,,,,,,,,,,Borrador,
ia-para-escribir,GRAFICO_TABLA,2,,,,,,Tarea,Task,Qué pedirle,What to ask,,,,,,,,,,,,,Borrador,
ia-para-escribir,FILA,2,,,,,,Redactar un correo,Draft an email,"Correo corto a [quién] para [qué], tono amable","Short email to [who] about [what], friendly tone",,,,,,,,,,,,,Borrador,
ia-para-escribir,FILA,2,,,,,,Responder un correo,Reply to an email,Pega el correo y pide una respuesta de 5 líneas,Paste the email and ask for a 5-line reply,,,,,,,,,,,,,Borrador,
ia-para-escribir,FILA,2,,,,,,Resumir un documento,Summarize a document,Resume en 5 puntos lo que debo decidir,Summarize in 5 points what I need to decide,,,,,,,,,,,,,Borrador,
ia-para-escribir,FILA,2,,,,,,Cambiar el tono,Change the tone,"Hazlo más formal, o más cercano","Make it more formal, or friendlier",,,,,,,,,,,,,Borrador,
ia-para-escribir,FILA,2,,,,,,Ordenar notas,Organize notes,Convierte estas notas en un plan con fechas,Turn these notes into a plan with dates,,,,,,,,,,,,,Borrador,
ia-para-escribir,PANTALLA,3,online,"Un resumen sirve más cuando tiene propósito. En vez de 'resume esto', pide 'saca solo las fechas y los compromisos' o 'resume para decidir si voy a esa reunión'. Así la IA sabe qué dejar y qué quitar.","A summary is more useful when it has a purpose. Instead of 'summarize this', ask 'pull out only the dates and commitments' or 'summarize so I can decide whether to attend'. Then the AI knows what to keep and what to cut.",,,,,,,,,,,,,,,,,,,Borrador,
ia-para-escribir,PANTALLA,4,info,"¿Quieres que suene a ti y no a robot? Pega un correo que hayas escrito y di 'escribe con este estilo'. La IA copia tu forma de saludar, tu largo de frases y tus expresiones.","Want it to sound like you and not like a robot? Paste an email you wrote and say 'write in this style'. The AI copies how you greet people, how long your sentences are and your favorite expressions.",,,,,,,,,,,,,,,,,,,Borrador,
ia-para-escribir,PANTALLA,5,error,"Regla de oro: lee todo antes de enviar. Revisa nombres, cifras, fechas y tono, porque el que firma eres tú. Y no pegues información confidencial de tu empresa sin permiso. ¡Ahora a practicar!","Golden rule: read everything before you send it. Check names, numbers, dates and tone, because you're the one signing it. And don't paste confidential company information without permission. Now let's practice!",,,,,,,,,,,,,,,,,,,Borrador,
ia-para-escribir,EJERCICIO,1,opcion-multiple,¿Cuál pedido de resumen da un resultado más útil?,Which summary request gets a more useful result?,,,Resume esto,Summarize this,Resume este informe en 5 puntos con lo que debo decidir esta semana,Summarize this report in 5 points with what I need to decide this week,Hazlo corto,Make it short,¿Qué dice?,What does it say?,,,,,2,Busca el que tiene un propósito claro.,Look for the one with a clear purpose.,,Borrador,
ia-para-escribir,EJERCICIO,2,verdadero-falso,"Si la IA escribió el correo, no hace falta leerlo antes de enviarlo.","If the AI wrote the email, there's no need to read it before sending.",,,,,,,,,,,,,,,falso,Recuerda quién firma el correo.,Remember who signs the email.,,Borrador,
ia-para-escribir,EJERCICIO,3,completar-frase,"Para que un texto suene más a ti, dale a la IA un","To make a text sound more like you, give the AI a",de cómo escribes.,of how you write.,ejemplo,sample,regalo,gift,castigo,penalty,,,,,,,1,Pega algo que tú hayas escrito.,Paste something you wrote yourself.,,Borrador,
ia-para-escribir,EJERCICIO,4,ordenar-pasos,Ordena cómo convertir tus notas sueltas en un correo:,Put in order how to turn loose notes into an email:,,,Pega las notas y pide un correo con el tono que quieres,Paste the notes and ask for an email in your tone,Lee el borrador completo,Read the whole draft,"Revisa nombres, fechas y cifras","Check names, dates and numbers",Envía el correo,Send the email,,,,,,"Lo último siempre es enviar, nunca antes de revisar.","Sending always comes last, never before checking.",,Borrador,
ia-para-escribir,EJERCICIO,5,escribir-prompt,Escribe un prompt para convertir notas desordenadas de una reunión en un correo claro para tu equipo.,Write a prompt to turn messy meeting notes into a clear email for your team.,,,,,,,,,,,,,,,,"Di para quién es, el tono y qué debe destacar.","Say who it's for, the tone and what it should highlight.",,Borrador,
ia-para-escribir,TAREA,,,"Esta semana, usa la IA para un correo real: pídele el borrador, ajústalo a tu estilo y revísalo antes de enviar. Anota cuántos minutos te ahorraste.","This week, use AI for a real email: get a draft, adjust it to your style and check it before sending. Note how many minutes you saved.",,,,,,,,,,,,,,,,,,,Borrador,
ia-para-analizar-datos,LECCION,,,IA para analizar datos,AI for analyzing data,Hojas de cálculo y reportes.,Spreadsheets and reports.,,,,,,,,,,,,,,,,180,Borrador,"Mundo Forja. Escrita por Claude, datos a septiembre de 2026."
ia-para-analizar-datos,PLAN,,,Usar la IA para entender hojas de cálculo y reportes.,,Pedirle fórmulas de Excel o Sheets explicadas · Que explique una tabla o encuentre tendencias · Que proponga gráficos · Verificar siempre los números,,,,,,,,,,,,,,,,,,,Completar la frase con la fórmula correcta. Tarea: pedir una fórmula para una hoja propia.
ia-para-analizar-datos,PANTALLA,1,boot,"¿Hojas de cálculo que parecen sopa de números? La IA puede ser tu traductora: te explica fórmulas, encuentra patrones y te propone gráficos.","Spreadsheets that look like number soup? AI can be your translator: it explains formulas, finds patterns and suggests charts.",,,,,,,,,,,,,,,,,,,Borrador,
ia-para-analizar-datos,PANTALLA,2,leyendo,"Para pedir una fórmula, describe tu hoja con palabras. Por ejemplo: 'En Google Sheets, la columna B tiene ventas y la C la ciudad. Quiero sumar solo las ventas de Cali'. La IA te da la fórmula SUMAR.SI y te explica cada parte.","To get a formula, describe your sheet in words. For example: 'In Google Sheets, column B has sales and column C has the city. I want to add up only the sales from Chicago'. The AI gives you the SUMIF formula and explains each part.",,,,,,,,,,,,,,,,,,,Borrador,
ia-para-analizar-datos,PANTALLA,3,online,"Más allá de fórmulas, puedes hacerle preguntas a tus datos:","Beyond formulas, you can ask your data questions:",,,,,,,,,,,,,,,,,,,Borrador,
ia-para-analizar-datos,GRAFICO_TABLA,3,,,,,,Pregúntale,Ask it,Te ayuda a ver,It helps you see,,,,,,,,,,,,,Borrador,
ia-para-analizar-datos,FILA,3,,,,,,¿En qué mes vendimos más?,Which month did we sell the most?,Tendencias,Trends,,,,,,,,,,,,,Borrador,
ia-para-analizar-datos,FILA,3,,,,,,¿Hay datos repetidos o vacíos?,Are there duplicate or empty cells?,Errores en la hoja,Errors in the sheet,,,,,,,,,,,,,Borrador,
ia-para-analizar-datos,FILA,3,,,,,,¿Qué gráfico uso para esto?,Which chart should I use?,Cómo mostrarlo mejor,How best to show it,,,,,,,,,,,,,Borrador,
ia-para-analizar-datos,FILA,3,,,,,,Explícame esta tabla como a un niño de 12 años,Explain this table like I'm 12,Qué significa todo,What it all means,,,,,,,,,,,,,Borrador,
ia-para-analizar-datos,PANTALLA,4,info,"Muchos asistentes aceptan que subas el archivo de Excel o CSV completo. Antes de subirlo, borra o reemplaza los datos personales: nombres, teléfonos, cédulas y correos.","Many assistants let you upload the whole Excel or CSV file. Before uploading, delete or replace personal data: names, phone numbers, ID numbers and emails.",,,,,,,,,,,,,,,,,,,Borrador,
ia-para-analizar-datos,PANTALLA,5,error,Ojo: la IA puede equivocarse en los cálculos. Verifica siempre un pedazo a mano o con una fórmula tuya antes de presentar un número en una reunión. ¡A practicar!,Careful: AI can get calculations wrong. Always check a piece by hand or with your own formula before presenting a number in a meeting. Let's practice!,,,,,,,,,,,,,,,,,,,Borrador,
