ID lección,Bloque,#,Tipo / Punti,Texto ES,Texto EN,Texto 2 ES,Texto 2 EN,Opción 1 ES,Opción 1 EN,Opción 2 ES,Opción 2 EN,Opción 3 ES,Opción 3 EN,Opción 4 ES,Opción 4 EN,Opción 5 ES,Opción 5 EN,Opción 6 ES,Opción 6 EN,Correcta,Pista ES,Pista EN,Tiempo (s),Estado,Notas
sesgos,LECCION,,,Sesgos,Bias,Por qué la IA no es neutral.,Why AI isn't neutral.,,,,,,,,,,,,,,,,180,Borrador,"Mundo Brújula. Escrita por Claude, datos a septiembre de 2026."
sesgos,PLAN,,,Entender por qué la IA no es neutral y cómo notarlo.,,"Aprende de datos humanos, con sus prejuicios · Ejemplos: imágenes estereotipadas, filtros de hojas de vida injustos · Cómo reducirlo: pedir diversidad explícitamente y revisar los resultados",,,,,,,,,,,,,,,,,,,Opción múltiple con un caso de sesgo.
sesgos,PANTALLA,1,boot,Pídele a una IA 'la imagen de un médico' y fíjate qué dibuja. Muchas veces sale un hombre de bata blanca. Eso tiene nombre: sesgo. Hoy aprendes a verlo.,Ask an AI for 'a picture of a doctor' and see what it draws. Often it's a man in a white coat. That has a name: bias. Today you learn to spot it.,,,,,,,,,,,,,,,,,,,Borrador,
sesgos,PANTALLA,2,leyendo,"Un sesgo es una inclinación injusta hacia un lado. La IA aprende de datos creados por personas, y las personas tenemos prejuicios. La IA los copia y a veces los agranda.","A bias is an unfair lean toward one side. AI learns from data created by people, and people have prejudices. AI copies them, and sometimes amplifies them.",,,,,,,,,,,,,,,,,,,Borrador,
sesgos,PANTALLA,3,error,Dónde aparece el sesgo con más frecuencia:,Where bias shows up most often:,,,,,,,,,,,,,,,,,,,Borrador,
sesgos,GRAFICO_TABLA,3,,,,,,Dónde,Where,Cómo se ve,What it looks like,,,,,,,,,,,,,Borrador,
sesgos,FILA,3,,,,,,Imágenes,Images,Estereotipos de profesiones o de belleza,Stereotypes about jobs or beauty,,,,,,,,,,,,,Borrador,
sesgos,FILA,3,,,,,,Contratación,Hiring,Filtros de hojas de vida que prefieren un perfil,Resume filters that favor one profile,,,,,,,,,,,,,Borrador,
sesgos,FILA,3,,,,,,Idiomas,Languages,Responde mejor en inglés que en otros idiomas,Answers better in English than in other languages,,,,,,,,,,,,,Borrador,
sesgos,FILA,3,,,,,,Cultura,Culture,Ejemplos pensados solo para Estados Unidos,Examples that only fit the United States,,,,,,,,,,,,,Borrador,
sesgos,PANTALLA,4,info,"Un caso real: en 2018 la agencia Reuters contó que Amazon abandonó una herramienta de IA para revisar hojas de vida. Había aprendido de contrataciones pasadas, casi todas de hombres, y castigaba los currículos que mencionaban a mujeres.","A real case: in 2018 Reuters reported that Amazon dropped an AI tool for screening resumes. It had learned from past hires, mostly men, and penalized resumes that mentioned women.",,,,,,,,,,,,,,,,,,,Borrador,
sesgos,PANTALLA,5,online,Cómo reducirlo en tu día a día:,How to reduce it in your day-to-day:,,,,,,,,,,,,,,,,,,,Borrador,
sesgos,GRAFICO_FLUJO,5,,,,,,Pide diversidad de forma explícita,Ask for diversity explicitly,Revisa el resultado con ojo crítico,Review the result with a critical eye,Pide otra versión si ves un estereotipo,Ask for another version if you see a stereotype,Usa la versión corregida,Use the corrected version,,,,,,,,,Borrador,
sesgos,PANTALLA,6,hype,"La IA no es neutral porque nosotros tampoco lo somos. Tu ojo crítico es el mejor filtro, y en decisiones sobre personas, como contratar a alguien, decide una persona. ¡A practicar!","AI isn't neutral because we aren't either. Your critical eye is the best filter, and when decisions affect people, like hiring someone, a person decides. Let's practice!",,,,,,,,,,,,,,,,,,,Borrador,
sesgos,EJERCICIO,1,opcion-multiple,Pides 'fotos de ingenieros' y todas muestran hombres jóvenes. ¿Qué está pasando?,You ask for 'photos of engineers' and they all show young men. What's going on?,,,Es un error de tu internet,It's an internet glitch,Es un sesgo aprendido de los datos,It's a bias learned from the data,Así lo pidió la ley,The law requires it,La IA se quedó sin imágenes,The AI ran out of images,,,,,2,La IA copia lo que más vio.,AI copies what it saw most.,,Borrador,
sesgos,EJERCICIO,2,verdadero-falso,La IA es neutral porque es una máquina.,AI is neutral because it's a machine.,,,,,,,,,,,,,,,falso,Piensa de dónde salen sus datos.,Think about where its data comes from.,,Borrador,
sesgos,EJERCICIO,3,completar-frase,La IA hereda los prejuicios de los,AI inherits the prejudices in the,con los que aprendió.,it learned from.,datos,data,cables,cables,colores,colors,,,,,,,1,Aprende de lo que personas escribieron y fotografiaron.,It learns from what people wrote and photographed.,,Borrador,
