ID lección,Bloque,#,Tipo / Punti,Texto ES,Texto EN,Texto 2 ES,Texto 2 EN,Opción 1 ES,Opción 1 EN,Opción 2 ES,Opción 2 EN,Opción 3 ES,Opción 3 EN,Opción 4 ES,Opción 4 EN,Opción 5 ES,Opción 5 EN,Opción 6 ES,Opción 6 EN,Correcta,Pista ES,Pista EN,Tiempo (s),Estado,Notas
generadores-de-imagenes,LECCION,,,Generadores de imágenes,Image generators,Cómo funcionan por dentro.,How they work inside.,,,,,,,,,,,,,,,,180,Borrador,"Mundo Prisma. Escrita por Claude, datos a septiembre de 2026."
generadores-de-imagenes,PLAN,,,Entender cómo una IA crea una imagen desde un texto.,,"Los modelos de difusión parten de ruido y lo van 'limpiando' guiados por tu texto · Aprendieron de millones de imágenes con su descripción · Ejemplos: Midjourney, DALL·E, Stable Diffusion, Firefly",,,,,,,,,,,,,,,,,,,Flujo de ruido a imagen. Opción múltiple sobre cómo funcionan.
generadores-de-imagenes,PANTALLA,1,boot,Escribes 'un gato astronauta tomando tinto en la Luna' y en segundos aparece la imagen. ¿Magia? No: matemáticas. Te cuento cómo funciona por dentro.,You type 'an astronaut cat drinking coffee on the Moon' and seconds later the image appears. Magic? No: math. Let me show you how it works inside.,,,,,,,,,,,,,,,,,,,Borrador,
generadores-de-imagenes,PANTALLA,2,leyendo,"Estos modelos aprendieron viendo millones de imágenes junto con su descripción. Así entendieron cómo se ve un gato, un atardecer o una acuarela, y cómo se combinan.","These models learned by looking at millions of images along with their descriptions. That's how they figured out what a cat, a sunset or a watercolor looks like, and how they combine.",,,,,,,,,,,,,,,,,,,Borrador,
generadores-de-imagenes,PANTALLA,3,loading,"Muchas herramientas usan una técnica llamada difusión. Parte de una imagen de puro ruido, como la estática de un televisor viejo, y la va limpiando paso a paso:","Many tools use a technique called diffusion. It starts from an image of pure noise, like static on an old TV, and cleans it up step by step:",,,,,,,,,,,,,,,,,,,Borrador,
generadores-de-imagenes,GRAFICO_FLUJO,3,,,,,,Escribes tu prompt,You write your prompt,Aparece una imagen de puro ruido,An image of pure noise appears,La IA quita ruido guiada por tu texto,The AI removes noise guided by your text,Queda la imagen final,The final image is left,,,,,,,,,Borrador,
generadores-de-imagenes,PANTALLA,4,info,Algunas herramientas conocidas:,Some well-known tools:,,,,,,,,,,,,,,,,,,,Borrador,Pantalla viva: revisar cada semana con el Radar IA.
generadores-de-imagenes,GRAFICO_TABLA,4,,,,,,Herramienta,Tool,Qué la distingue,What sets it apart,,,,,,,,,,,,,Borrador,
generadores-de-imagenes,FILA,4,,,,,,Midjourney,Midjourney,Estilo muy artístico,Very artistic style,,,,,,,,,,,,,Borrador,
generadores-de-imagenes,FILA,4,,,,,,ChatGPT y Gemini,ChatGPT and Gemini,Crean imágenes dentro del chat,Create images right in the chat,,,,,,,,,,,,,Borrador,
generadores-de-imagenes,FILA,4,,,,,,Adobe Firefly,Adobe Firefly,Viene en Photoshop; Adobe dice que la entrenó con imágenes con licencia,Built into Photoshop; Adobe says it was trained on licensed images,,,,,,,,,,,,,Borrador,
generadores-de-imagenes,FILA,4,,,,,,Stable Diffusion,Stable Diffusion,Abierta: se puede instalar en tu computador,Open: you can install it on your computer,,,,,,,,,,,,,Borrador,
generadores-de-imagenes,PANTALLA,5,hype,"Todavía fallan en detalles: letras dentro de la imagen, manos o cuántos objetos hay. Por eso se prueba varias veces. En la próxima lección escribes tu primer prompt visual. ¡A practicar!","They still slip on details: lettering inside the image, hands, or how many objects there are. That's why you try a few times. Next lesson you'll write your first visual prompt. Let's practice!",,,,,,,,,,,,,,,,,,,Borrador,
generadores-de-imagenes,EJERCICIO,1,opcion-multiple,¿Cómo crea una imagen un modelo de difusión?,How does a diffusion model create an image?,,,Busca una foto parecida en internet,Searches for a similar photo online,Parte de ruido y lo limpia guiado por tu texto,Starts from noise and cleans it up guided by your text,Una persona la dibuja muy rápido,A person draws it really fast,Mezcla dos fotos al azar,Mixes two random photos,,,,,2,Recuerda la estática del televisor viejo.,Remember the old TV static.,,Borrador,
generadores-de-imagenes,EJERCICIO,2,verdadero-falso,Los generadores de imágenes aprendieron viendo imágenes junto con su descripción.,Image generators learned by looking at images along with their descriptions.,,,,,,,,,,,,,,,verdadero,Así entendieron qué es un gato o un atardecer.,That's how they learned what a cat or a sunset is.,,Borrador,
generadores-de-imagenes,EJERCICIO,3,completar-frase,La difusión empieza con una imagen llena de,Diffusion starts with an image full of,.,.,ruido,noise,colores,colors,letras,letters,,,,,,,1,Como la estática de un televisor.,Like TV static.,,Borrador,
generadores-de-imagenes,EJERCICIO,4,ordenar-pasos,Ordena cómo nace una imagen por difusión:,Put in order how a diffusion image is born:,,,Escribes tu prompt,You write your prompt,Aparece una imagen de puro ruido,An image of pure noise appears,La IA quita ruido guiada por tu texto,The AI removes noise guided by your text,Queda la imagen final,The final image is left,,,,,,Todo empieza con tus palabras.,It all starts with your words.,,Borrador,
generadores-de-imagenes,EJERCICIO,5,escribir-prompt,"Describe en un prompt una imagen divertida que te gustaría ver, con al menos tres detalles.","Describe in a prompt a fun image you'd like to see, with at least three details.",,,,,,,,,,,,,,,,"Qué aparece, dónde está y en qué estilo.","What's in it, where it is and in what style.",,Borrador,
generadores-de-imagenes,TAREA,,,"Genera la misma idea en dos herramientas distintas (por ejemplo, ChatGPT y Gemini) y compara: ¿cuál respetó mejor los detalles que pediste?","Generate the same idea in two different tools (for example, ChatGPT and Gemini) and compare: which one followed your details better?",,,,,,,,,,,,,,,,,,,Borrador,
tu-primer-prompt-visual,LECCION,,,Tu primer prompt visual,Your first visual prompt,De la idea a la imagen.,From idea to image.,,,,,,,,,,,,,,,,180,Borrador,"Mundo Prisma. Escrita por Claude, datos a septiembre de 2026."
tu-primer-prompt-visual,PLAN,,,Escribir un buen prompt para generar una imagen.,,"Sujeto (qué aparece) · Estilo (foto, ilustración, anime, pixel art) · Encuadre y composición · Luz y color · Formato (vertical, cuadrado) · Iterar cambiando una cosa a la vez",,,,,,,,,,,,,,,,,,,Escribir un prompt visual con todas las piezas.
tu-primer-prompt-visual,PANTALLA,1,boot,"Hoy pasas de mirar a crear. Un prompt visual es como darle indicaciones a un fotógrafo que no ve tu mente: todo lo que no digas, lo decide él.","Today you go from looking to creating. A visual prompt is like directing a photographer who can't read your mind: anything you leave out, they decide for you.",,,,,,,,,,,,,,,,,,,Borrador,
tu-primer-prompt-visual,PANTALLA,2,leyendo,Estas son las piezas de un prompt visual:,These are the pieces of a visual prompt:,,,,,,,,,,,,,,,,,,,Borrador,
tu-primer-prompt-visual,GRAFICO_TABLA,2,,,,,,Pieza,Piece,Ejemplo,Example,,,,,,,,,,,,,Borrador,
tu-primer-prompt-visual,FILA,2,,,,,,Sujeto,Subject,Un colibrí tomando néctar,A hummingbird sipping nectar,,,,,,,,,,,,,Borrador,
tu-primer-prompt-visual,FILA,2,,,,,,Estilo,Style,Ilustración en acuarela,Watercolor illustration,,,,,,,,,,,,,Borrador,
tu-primer-prompt-visual,FILA,2,,,,,,Encuadre,Framing,Primer plano,Close-up,,,,,,,,,,,,,Borrador,
tu-primer-prompt-visual,FILA,2,,,,,,Luz y color,Light and color,"Luz suave de la mañana, tonos verdes","Soft morning light, green tones",,,,,,,,,,,,,Borrador,
