ID lección,Bloque,#,Tipo / Punti,Texto ES,Texto EN,Texto 2 ES,Texto 2 EN,Opción 1 ES,Opción 1 EN,Opción 2 ES,Opción 2 EN,Opción 3 ES,Opción 3 EN,Opción 4 ES,Opción 4 EN,Opción 5 ES,Opción 5 EN,Opción 6 ES,Opción 6 EN,Correcta,Pista ES,Pista EN,Tiempo (s),Estado,Notas
que-es-un-llm,LECCION,,,Qué es un modelo de lenguaje (LLM),What a language model (LLM) is,La base de ChatGPT y similares.,The foundation of ChatGPT and the like.,,,,,,,,,,,,,,,,180,Borrador,"Mundo Lexia. Escrita por Claude, datos a septiembre de 2026."
que-es-un-llm,PLAN,,,Entender qué es un modelo de lenguaje y cómo produce una respuesta.,,"Un LLM predice la palabra (el 'token') más probable que sigue, una tras otra · Aprendió leyendo una cantidad enorme de texto · 'Grande' se refiere a sus miles de millones de parámetros · Ejemplos: ChatGPT, Gemini, Claude, Llama",,,,,,,,,,,,,,,,,,,Completar la frase: 'El cielo es...' y ver por qué la IA elige 'azul'.
que-es-un-llm,PANTALLA,1,boot,"¿Tu celular te sugiere la siguiente palabra cuando escribes en WhatsApp? Un modelo de lenguaje hace algo parecido, pero entrenado con muchísimo más texto. Hoy abrimos el capó de ChatGPT, Gemini y compañía.","Does your phone suggest the next word when you text? A language model does something similar, but trained on far more text. Today we pop the hood on ChatGPT, Gemini and friends.",,,,,,,,,,,,,,,,,,,Borrador,
que-es-un-llm,PANTALLA,2,leyendo,"LLM viene del inglés Large Language Model: modelo de lenguaje grande. Es un programa que aprendió una sola habilidad, predecir qué viene después en un texto. Con esa habilidad arma respuestas, correos, resúmenes y hasta chistes.","LLM stands for Large Language Model. It's a program that learned one single skill: predicting what comes next in a text. With that skill it builds answers, emails, summaries and even jokes.",,,,,,,,,,,,,,,,,,,Borrador,
que-es-un-llm,PANTALLA,3,loading,No trabaja con palabras completas sino con pedacitos de texto llamados tokens. Una palabra corta es un token; una larga puede ser dos o tres. Así arma cada respuesta:,It doesn't work with whole words but with small chunks of text called tokens. A short word is one token; a long one can be two or three. This is how it builds every answer:,,,,,,,,,,,,,,,,,,,Borrador,
que-es-un-llm,GRAFICO_FLUJO,3,,,,,,Lee tu prompt completo,Reads your whole prompt,Calcula qué token es más probable que siga,Works out which token most likely comes next,Escribe ese token y lo suma al texto,Writes that token and adds it to the text,Repite hasta terminar la respuesta,Repeats until the answer is done,,,,,,,,,Borrador,
que-es-un-llm,PANTALLA,4,info,"Si escribes 'El cielo es...', el modelo compara opciones según lo que vio en millones de textos. Por eso casi siempre elige 'azul'. Elige lo probable, no lo que comprobó.","If you write 'The sky is...', the model weighs its options based on what it saw in millions of texts. That's why it almost always picks 'blue'. It picks what's likely, not what it checked.",,,,,,,,,,,,,,,,,,,Borrador,
que-es-un-llm,GRAFICO_TABLA,4,,,,,,Posible continuación,Possible continuation,Qué tan probable,How likely,,,,,,,,,,,,,Borrador,
que-es-un-llm,FILA,4,,,,,,azul,blue,Muy probable,Very likely,,,,,,,,,,,,,Borrador,
que-es-un-llm,FILA,4,,,,,,gris,gray,Posible,Possible,,,,,,,,,,,,,Borrador,
que-es-un-llm,FILA,4,,,,,,una pizza,a pizza,Casi imposible,Almost impossible,,,,,,,,,,,,,Borrador,
que-es-un-llm,PANTALLA,5,hype,"¿Y lo de 'grande'? Se refiere a sus parámetros: miles de millones de perillas internas que se ajustaron durante el entrenamiento. ChatGPT, Gemini, Claude y Llama funcionan con modelos así. ¡A practicar!","And the 'large' part? It refers to its parameters: billions of internal dials that got tuned during training. ChatGPT, Gemini, Claude and Llama all run on models like this. Let's practice!",,,,,,,,,,,,,,,,,,,Borrador,
que-es-un-llm,EJERCICIO,1,opcion-multiple,¿Qué hace un modelo de lenguaje para responderte?,What does a language model do to answer you?,,,Busca la respuesta en una lista guardada,Looks up the answer in a saved list,"Predice, pedacito a pedacito, lo más probable que sigue","Predicts, chunk by chunk, what most likely comes next",Le pregunta a una persona en tiempo real,Asks a person in real time,Copia la primera página que encuentra en Google,Copies the first page it finds on Google,,,,,2,Recuerda el ejemplo de 'El cielo es...'.,Remember the 'The sky is...' example.,,Borrador,
que-es-un-llm,EJERCICIO,2,verdadero-falso,"Un modelo de lenguaje elige la respuesta más probable, no necesariamente la verdadera.","A language model picks the most likely answer, not necessarily the true one.",,,,,,,,,,,,,,,verdadero,Piensa en si el modelo comprueba los datos o solo calcula probabilidades.,Think about whether the model checks facts or just calculates odds.,,Borrador,
que-es-un-llm,EJERCICIO,3,completar-frase,Los pedacitos de texto con los que trabaja un modelo se llaman,The small chunks of text a model works with are called,.,.,tokens,tokens,píxeles,pixels,contraseñas,passwords,,,,,,,1,Una palabra corta es uno; una larga puede ser dos o tres.,A short word is one; a long one can be two or three.,,Borrador,
que-es-un-llm,EJERCICIO,4,ordenar-pasos,Ordena cómo arma un modelo su respuesta:,Put in order how a model builds its answer:,,,Lee tu prompt completo,Reads your whole prompt,Calcula qué token es más probable que siga,Works out which token most likely comes next,Escribe ese token y lo suma al texto,Writes that token and adds it to the text,Repite hasta terminar la respuesta,Repeats until the answer is done,,,,,,"Primero lee, después calcula y escribe, y así en bucle.","First it reads, then it calculates and writes, over and over.",,Borrador,
que-es-un-llm,EJERCICIO,5,escribir-prompt,Escribe un prompt pidiéndole a una IA que te explique qué es un token con un ejemplo de la vida diaria.,Write a prompt asking an AI to explain what a token is with an everyday example.,,,,,,,,,,,,,,,,"Pide el ejemplo de forma concreta: de cocina, de fútbol o de lo que te guste.","Ask for a specific kind of example: cooking, soccer or whatever you like.",,Borrador,
que-es-un-llm,TAREA,,,"Escríbele a una IA 'Completa esta frase: Hoy en la tienda de la esquina compré...' tres veces, en chats nuevos. Compara las respuestas: ¿por qué crees que cambian?","Ask an AI 'Finish this sentence: Today at the corner store I bought...' three times, in new chats. Compare the answers: why do you think they change?",,,,,,,,,,,,,,,,,,,Borrador,
como-entrenan-una-ia,LECCION,,,Cómo entrenan a una IA,How an AI gets trained,De dónde sale lo que 'sabe'.,Where what it 'knows' comes from.,,,,,,,,,,,,,,,,180,Borrador,"Mundo Lexia. Escrita por Claude, datos a septiembre de 2026."
como-entrenan-una-ia,PLAN,,,Saber de dónde sale lo que una IA 'sabe' y por qué eso importa.,,"Preentrenamiento: lee muchísimo texto y aprende patrones · Ajuste: personas le muestran buenas respuestas y califican las suyas · Tiene una 'fecha de corte': no sabe lo que pasó después · Lo que aprende depende de los datos, incluidos sus errores y sesgos",,,,,,,,,,,,,,,,,,,Flujo: datos → preentrenamiento → ajuste con personas → modelo listo.
como-entrenan-una-ia,PANTALLA,1,boot,"Nadie le escribe a ChatGPT sus respuestas una por una. Entonces, ¿de dónde saca todo lo que sabe? Hoy visitamos la escuela de las IA.",Nobody writes ChatGPT's answers one by one. So where does everything it knows come from? Today we visit the school where AIs learn.,,,,,,,,,,,,,,,,,,,Borrador,
